,model,price,rating,info1,info2,info3,info4,info5,info6,info7,info8
155,Xiaomi Pad 6S Pro,"₹49,990",,No Sim Supported,"Wi-Fi, NFC","Snapdragon 8 Gen2, Octa Core, 3.2 GHz Processor","8 GB RAM, 256 GB inbuilt",10000 mAh Battery with 120W Fast Charging,"12.4 inches, 2032 x 3048 px, 144 Hz Display",50 MP + 2 MP Dual Rear & 32 MP Front Camera,Android v14
156,Google Pixel Tablet 2,"₹79,990",77,Wi-Fi,No 3G,"Tensor G3, Octa Core, 3 GHz Processor","8 GB RAM, 128 GB inbuilt","11.95 inches, 1600 x 2760 px, 90 Hz Display",12 MP Rear & 12 MP Front Camera,Android v14,No FM Radio
157,Lenovo Tab K11,"₹15,999",75,Single Sim,"3G, 4G, Wi-Fi","Helio G88, Octa Core, 2 GHz Processor","8 GB RAM, 128 GB inbuilt",7040 mAh Battery with 15W Fast Charging,"10.95 inches, 1200 x 1920 px, 90 Hz Display",13 MP Rear & 8 MP Front Camera,"Memory Card Supported, upto 1 TB"
158,iQOO Pad Air,"₹20,990",73,"Wi-Fi, NFC","Snapdragon 870, Octa Core, 3.2 GHz Processor","8 GB RAM, 256 GB inbuilt",8500 mAh Battery with 44W Fast Charging,"11.5 inches, 1840 x 2800 px, 144 Hz Display",8 MP Rear & 5 MP Front Camera,Android v13,No FM Radio
159,Vivo Pad 3,"₹28,990",72,No Sim Supported,Wi-Fi,"Snapdragon 8s Gen3, Octa Core, 3 GHz Processor","8 GB RAM, 128 GB inbuilt",10000 mAh Battery with 44W Fast Charging,"12.1 inches, 1968 x 2800 px, 144 Hz Display",8 MP Rear & 5 MP Front Camera,Android v14
160,Blackview Tab 18,"₹19,990",78,Dual Sim,"3G, 4G, Wi-Fi","Helio G99, Octa Core, 2.2 GHz Processor","12 GB RAM, 256 GB inbuilt",8800 mAh Battery with 33W Fast Charging,"12 inches, 1200 x 2000 px Display",16 MP Rear & 8 MP Front Camera,Memory Card (Hybrid)
161,Teclast T45HD Tablet,"₹19,999",78,Dual Sim,"3G, 4G, VoLTE, Wi-Fi","Unisoc T606, Octa Core, 2 GHz Processor","8 GB RAM, 128 GB inbuilt",7200 mAh Battery,"10.51 inches, 1200 x 1920 px Display",13 MP + 13 MP Dual Rear & 8 MP Front Camera,"Memory Card (Hybrid), upto 1 TB"
162,Apple iPad Air 11 2024 Tablet 5G,"₹74,900",75,Single Sim,"3G, 4G, 5G, VoLTE, Wi-Fi","Apple M2, Octa Core Processor","8 GB RAM, 128 GB inbuilt",7819 mAh Battery with Fast Charging,"11 inches, 1640 x 2360 px Display",12 MP Rear & 12 MP Front Camera,iPadOS v17.4
163,Samsung Galaxy Tab S9 FE (Wi-Fi Only + 8GB RAM + 256GB),"₹41,999",77,Wi-Fi,"Exynos 1380, Octa Core, 2.4 GHz Processor","8 GB RAM, 256 GB inbuilt",8000 mAh Battery with 45W Fast Charging,"10.9 inches, 1440 x 2304 px, 90 Hz Display",8 MP Rear & 12 MP Front Camera,"Memory Card Supported, upto 1 TB",Android v13
164,Lenovo Tab P12 (8GB RAM+128GB),"₹24,750",74,Wi-Fi,"Dimensity 7050, Octa Core, 2 GHz Processor","8 GB RAM, 128 GB inbuilt",10200 mAh Battery with 30W Fast Charging,"12.7 inches, 2944 x 1840 px Display",13 MP Rear & 8 MP Front Camera,"Memory Card Supported, upto 1 TB",Android v13
165,Huawei MatePad Pro 13.2,"₹59,990",78,Wi-Fi,"Kirin 9000S, Octa Core, 2.62 GHz Processor","12 GB RAM, 512 GB inbuilt",10100 mAh Battery with 88W Fast Charging,"13.2 inches, 2880 x 1920 px, 144 Hz Display",50 MP + 8 MP Dual Rear & 16 MP Front Camera,Harmony OS v4.0,No FM Radio
166,Huawei MatePad 11.5 PaperMatte Edition Tablet,"₹40,999",72,Wi-Fi,No 3G,"Snapdragon 7 Gen1, Octa Core, 2.4 GHz Processor","8 GB RAM, 256 GB inbuilt",7700 mAh Battery with Fast Charging,"11.5 inches, 1440 x 2200 px, 120 Hz Display",13 MP Rear & 8 MP Front Camera,Harmony OS v3.1
167,Xiaomi Pad 6 Max 14 Tablet,"₹43,999",78,Wi-Fi,No 3G,"Snapdragon 8+ Gen1, Octa Core, 3.2 GHz Processor","8 GB RAM, 256 GB inbuilt",10000 mAh Battery with 67W Fast Charging,"14 inches, 1800 x 2880 px, 120 Hz Display",50 MP + Depth Sensor Dual Rear & 20 MP Front Camera,Android v13
168,Oukitel RT7 Titan Tablet,"₹79,999",,"3G, 4G, 5G, Wi-Fi","Dimensity 720 5G, Octa Core, 2 GHz Processor","12 GB RAM, 256 GB inbuilt",32000 mAh Battery with 33W Fast Charging,"10.1 inches, 1920 x 1200 px Display",48 MP + 20 MP + 2 MP Triple Rear & 32 MP Front Camera,Memory Card Supported,Android v13
169,Samsung Galaxy Tab S9 Tablet (Wi-Fi+12GB+256GB),"₹83,999",,Wi-Fi,"Snapdragon 8 Gen2, Octa Core, 3.2 GHz Processor","12 GB RAM, 256 GB inbuilt",8400 mAh Battery with 45W Fast Charging,"11 inches, 1600 x 2560 px, 120 Hz Display",13 MP Rear & 12 MP Front Camera,"Memory Card Supported, upto 1 TB",Android v13
170,Samsung Galaxy Tab S9 Ultra 2023 Tablet (Wi-Fi+12GB+256GB),"₹1,08,999",,Wi-Fi,"Snapdragon 8 Gen2, Octa Core, 3.2 GHz Processor","12 GB RAM, 256 GB inbuilt",11200 mAh Battery with 45W Fast Charging,"14.6 inches, 1848 x 2960 px, 120 Hz Display",13 MP + 8 MP Dual Rear & 12 MP + 12 MP Dual Front Camera,"Memory Card Supported, upto 1 TB",Android v13
171,Xiaomi Pad 6 Max Tablet,"₹32,999",76,Wi-Fi,No 3G,"Snapdragon 8+ Gen1, Octa Core, 3.2 GHz Processor","8 GB RAM, 256 GB inbuilt",10000 mAh Battery with 67W Fast Charging,"14 inches, 1800 x 2880 px, 120 Hz Display",50 MP + Depth Sensor Dual Rear & 20 MP Front Camera,Android v13
172,Samsung Galaxy Tab S9 Ultra Tablet,"₹1,22,999",,Single Sim,"3G, 4G, 5G, VoLTE, Wi-Fi","Snapdragon 8 Gen2, Octa Core, 3.2 GHz Processor","12 GB RAM, 256 GB inbuilt",11200 mAh Battery with 45W Fast Charging,"14.6 inches, 1848 x 2960 px, 120 Hz Display",13 MP + 8 MP Dual Rear & 12 MP + 12 MP Dual Front Camera,"Memory Card Supported, upto 1 TB"
173,Cube X Pad Tablet,"₹24,990",,Single Sim,"3G, 4G, 5G, VoLTE, Wi-Fi","Dimensity 900, Octa Core, 2.4 GHz Processor","8 GB RAM, 256 GB inbuilt",8040 mAh Battery with 25W Fast Charging,"10.58 inches, 1200 x 2000 px, 120 Hz Display",13 MP Rear & 5 MP Front Camera,"Memory Card Supported, upto 1 TB"
174,Samsung Galaxy Tab S9 Tablet,"₹72,999",,Single Sim,"3G, 4G, 5G, VoLTE, Wi-Fi","Snapdragon 8 Gen2, Octa Core, 3.2 GHz Processor","8 GB RAM, 128 GB inbuilt",8400 mAh Battery with 45W Fast Charging,"11 inches, 1600 x 2560 px, 120 Hz Display",13 MP Rear & 12 MP Front Camera,"Memory Card Supported, upto 1 TB"
175,HTC A102 Tablet,"₹14,990",79,Dual Sim,"3G, 4G, VoLTE, Wi-Fi","Helio MT6769, Octa Core, 2 GHz Processor","8 GB RAM, 128 GB inbuilt",8000 mAh Battery with 18W Fast Charging,"11 inches, 1200 x 2000 px Display",20 MP Rear & 8 MP Front Camera,"Memory Card Supported, upto 256 GB"
176,Samsung Galaxy Tab S8 Ultra Tablet (WiFi + 128GB),"₹69,999",,Wi-Fi,No 3G,"Snapdragon 8 Gen1, Octa Core, 3 GHz Processor","8 GB RAM, 128 GB inbuilt",11200 mAh Battery with 45W Fast Charging,"14.6 inches, 1848 x 2960 px, 120 Hz Display",13 MP + 6 MP Dual Rear & 12 MP + 12 MP Dual Front Camera,"Memory Card Supported, upto 1 TB"
177,Apple iPad Pro 12.9 2022 Tablet (2TB),"₹2,34,900",,Single Sim,"3G, 4G, 5G, VoLTE, Wi-Fi","Apple M2, Octa Core Processor","16 GB RAM, 2 TB inbuilt",10758 mAh Battery with 18W Fast Charging,"12.9 inches, 2048 x 2732 px Display",12 MP + 10 MP + Depth Sensor Triple Rear & 12 MP Front Camera,iPadOS v16
178,Apple iPad Pro 11 2022 Tablet (2TB),"₹1,53,290",,Single Sim,"3G, 4G, 5G, VoLTE, Wi-Fi","Apple M2, Octa Core Processor","16 GB RAM, 2 TB inbuilt",7538 mAh Battery with 18W Fast Charging,"11 inches, 1668 x 2388 px Display",12 MP + 10 MP + Depth Sensor Triple Rear & 12 MP Front Camera,iPadOS v16
179,Apple iPad Pro 11 2022 Tablet (Wi-Fi + 1TB),"₹1,49,900",73,Wi-Fi,No 3G,"Apple M2, Octa Core Processor","16 GB RAM, 1 TB inbuilt",7538 mAh Battery with 18W Fast Charging,"11 inches, 1668 x 2388 px Display",12 MP + 10 MP + Depth Sensor Triple Rear & 12 MP Front Camera,iPadOS v16
180,Apple iPad Pro 11 inch 2024 Tablet 5G,"₹1,19,900",77,Single Sim,"3G, 4G, 5G, Wi-Fi","Apple M4, Nine Core Processor","8 GB RAM, 256 GB inbuilt",8457 mAh Battery with Fast Charging,"11 inches, 1668 x 2420 px, 120 Hz Display",12 MP Rear & 12 MP Front Camera,ipad OS v17.4
181,Google Pixel Tablet,"₹47,490",75,Wi-Fi,No 3G,"Tensor G2, Octa Core, 2.85 GHz Processor","8 GB RAM, 128 GB inbuilt",7020 mAh Battery with 15W Fast Charging,"10.95 inches, 1600 x 2560 px, 90 Hz Display",8 MP Rear & 8 MP Front Camera,Android v13
182,Apple iPad Pro 12.9 2021 Tablet (1TB),"₹1,76,900",,Single Sim,"3G, 4G, 5G, VoLTE, Wi-Fi","Apple M1, Octa Core Processor","16 GB RAM, 1 TB inbuilt","12.9 inches, 2048 x 2732 px Display",12 MP + 10 MP + Depth Sensor Triple Rear & 12 MP Front Camera,iOS v14.5,No FM Radio
183,Huawei MatePad Pro 2 5G,"₹49,990",77,Single Sim,"3G, 4G, 5G, VoLTE, Wi-Fi",Kirin 9000,"8 GB RAM, 128 GB inbuilt",7250 mAh Battery with 40W Fast Charging,"12.6 inches, 2560 x 1600 px, 120 Hz Display with Punch Hole",13 MP Rear & 8 MP Front Camera,"Memory Card Supported, upto 256 GB"
184,Samsung Galaxy Tab S8 Plus 5G Tablet,"₹99,999",,Single Sim,"3G, 4G, 5G, VoLTE, Wi-Fi","Snapdragon 8 Gen1, Octa Core, 3 GHz Processor","8 GB RAM, 128 GB inbuilt",10090 mAh Battery with 45W Fast Charging,"12.4 inches, 1752 x 2800 px, 120 Hz Display",13 MP + 6 MP Dual Rear & 12 MP Front Camera,"Memory Card Supported, upto 1 TB"
185,IQOO Pad 5,"₹27,990",73,No Sim Supported,Wi-Fi,"Dimensity 9300 Plus, Octa Core, 3.25 GHz Processor","8 GB RAM, 128 GB inbuilt",10000 mAh Battery with 44W Fast Charging,"12.1 inches, 1968 x 2800 px, 144 Hz Display",8 MP Rear & 5 MP Front Camera,Android v15
186,Blackview Mega 8,"₹21,990",79,Dual Sim,"3G, 4G, Wi-Fi","Unisoc T620, Octa Core, 2.2 GHz Processor","12 GB RAM, 256 GB inbuilt",11000 mAh Battery with 18W Fast Charging,"13 inches, 1200 x 1920 px Display",50 MP Rear & 13 MP Front Camera,Memory Card Supported
